"","date","state","net_approval","fips","cases","deaths","death_rate","delta_cases_date","delta_cases","cases_rate_percent_change","delta_death_date","delta_death","Death_rate_percent_change","delta_date","delta_approval_rate","approval_rate_percent_change"
"2501",2020-04-06,"texas",0.0416552907679707,48,8104,159,1.96199407699901,1,1013,0.125,1,23,0.144654088050314,1,-0.000714505638592211,-0.0171528184156046
"2502",2020-04-07,"texas",0.0409391697759982,48,8968,177,1.97368421052632,1,864,0.096342551293488,1,18,0.101694915254237,1,-0.000716120991972491,-0.0174923183809247
"2503",2020-04-08,"texas",0.0402246548272185,48,9897,195,1.97029402849348,1,929,0.0938668283318177,1,18,0.0923076923076923,1,-0.000714514948779721,-0.0177631095120358
"2504",2020-04-09,"texas",0.0394966067760473,48,11372,228,2.00492437565951,1,1475,0.129704537460429,1,33,0.144736842105263,1,-0.000728048051171215,-0.0184331797234982
"2505",2020-04-10,"texas",0.0387815595829325,48,12290,246,2.00162733930024,1,918,0.0746948738812042,1,18,0.0731707317073171,1,-0.000715047193114771,-0.0184378142809259
"2506",2020-04-11,"texas",0.0403806651238981,48,13208,265,2.00635978195033,1,918,0.0695033313143549,1,19,0.0716981132075472,1,0.0015991055409656,0.0396007726980013
"2507",2020-04-12,"texas",0.0419667698068074,48,13776,288,2.09059233449477,1,568,0.0412311265969803,1,23,0.0798611111111111,1,0.00158610468290926,0.0377942998760887
"2508",2020-04-13,"texas",0.043565875347773,48,14487,320,2.20887692413888,1,711,0.0490784841582108,1,32,0.1,1,0.0015991055409656,0.0367054610563986
"2509",2020-04-14,"texas",0.0451389791726254,48,15303,365,2.3851532379272,1,816,0.0533228778670849,1,45,0.123287671232877,1,0.00157310382485248,0.0348502304147475
"2510",2020-04-15,"texas",0.0467386923566962,48,16106,395,2.45250217310319,1,803,0.0498571960759965,1,30,0.0759493670886076,1,0.00159971318407076,0.0342267424142339
"2511",2020-04-16,"texas",0.0446053640842965,48,16928,428,2.52835538752363,1,822,0.0485586011342155,1,33,0.0771028037383178,1,-0.0021333282723997,-0.0478267203103214
"2512",2020-04-17,"texas",0.0424738032710159,48,18131,461,2.54260658540621,1,1203,0.0663504495063703,1,33,0.0715835140997831,1,-0.00213156081328064,-0.0501853059797737
